Surname,Forename,Email,Mobile,Squad
Novak,Femi,femi.novak@example.org,07806 538336,Vets
Grant,Priya,priya.grant@example.org,07911 597703,Seniors
Quayle,Quin,quin.quayle@example.org,07341 926701,Juniors
Lowe,Amara,amara.lowe@example.org,07699 548990,Juniors
Hale,Eve,eve.hale@example.org,07338 827626,Juniors
Novak,Nell,nell.novak@example.org,07730 563303,Juniors
Rossi,Kai,kai.rossi@example.org,07609 827623,Juniors
Lowe,Uma,uma.lowe@example.org,07123 262333,Juniors
Adeyemi,Dan,dan.adeyemi@example.org,07564 268924,Vets
Patel,Marco,marco.patel@example.org,07254 295988,Juniors
Hale,Priya,priya.hale@example.org,07176 918161,Seniors
Stone,Gus,gus.stone@example.org,07847 174372,Juniors
Patel,Rae,rae.patel@example.org,07672 967191,Social
Kaur,Gus,gus.kaur@example.org,07249 661851,Social
Lowe,Jess,jess.lowe@example.org,07562 625797,Social
Patel,Kai,kai.patel@example.org,07495 378611,Juniors
Fox,Chloe,chloe.fox@example.org,07835 850778,Social
Patel,Amara,amara.patel@example.org,07171 677168,Seniors
Turner,Sol,sol.turner@example.org,07426 683518,Juniors
Fox,Femi,femi.fox@example.org,07741 465121,Vets
Turner,Lena,lena.turner@example.org,07413 357703,Juniors
Castro,Femi,femi.castro@example.org,07933 282471,Social
Fox,Lena,lena.fox@example.org,07799 138479,Seniors
Fox,Nell,nell.fox@example.org,07859 719203,Juniors
Patel,Lena,lena.patel@example.org,07618 493803,Seniors
Fox,Hana,hana.fox@example.org,07675 172703,Social
Patel,Nell,nell.patel@example.org,07158 977656,Vets
Irving,Ben,ben.irving@example.org,07774 403955,Juniors
Hale,Nell,nell.hale@example.org,07274 513689,Juniors
Ellis,Kai,kai.ellis@example.org,07254 882078,Social
Rossi,Sol,sol.rossi@example.org,07711 204518,Seniors
Rossi,Sol,srossi.vets@example.org,07902 663130,Vets
