Surname,Forename,Email,Mobile,Squad,Joined
Quayle,Eve,eve.quayle@example.org,07846 602337,Juniors,2026-04-10
Lowe,Gus,gus.lowe@example.org,07914 261314,Vets,2026-05-11
Novak,Tara,tara.novak@example.org,07596 709368,Social,2026-06-12
Ellis,Jess,jess.ellis@example.org,07647 716995,Vets,2026-07-13
Adeyemi,Eve,eve.adeyemi@example.org,07491 818587,Seniors,2026-08-14
Adeyemi,Will,will.adeyemi@example.org,07370 722525,Vets,2026-04-15
Hale,Uma,uma.hale@example.org,07972 712725,Social,2026-05-16
Mendes,Ivo,ivo.mendes@example.org,07869 951601,Seniors,2026-06-17
Ellis,Eve,eve.ellis@example.org,07197 516243,Juniors,2026-07-18
Adeyemi,Femi,femi.adeyemi@example.org,07757 568561,Seniors,2026-08-19
Rossi,Sol,sol.rossi@example.org,07711 204518,Seniors,2026-04-20
Rossi,Sol,srossi.vets@example.org,07902 663130,Vets,2026-05-21
Turner,Hana,hana.turner@example.org,07270 290395,Seniors,2026-06-22
Grant,Marco,marco.grant@example.org,07827 880348,Juniors,2026-07-23
Quayle,Tara,tara.quayle@example.org,07994 881778,Juniors,2026-08-24
Mendes,Amara,amara.mendes@example.org,07575 166575,Social,2026-04-25
Fox,Sol,sol.fox@example.org,07974 846048,Seniors,2026-05-26
Turner,Ivo,ivo.turner@example.org,07421 882037,Juniors,2026-06-27
