Surname,Forename,Email,Mobile,Squad
Turner,Lena,lena.turner@example.org,07413 357703,Juniors
Castro,Femi,femi.castro@example.org,07933 282471,Social
Fox,Lena,lena.fox@example.org,07799 138479,Seniors
Fox,Nell,nell.fox@example.org,07859 719203,Juniors
Patel,Lena,lena.patel@example.org,07618 493803,Seniors
Fox,Hana,hana.fox@example.org,07675 172703,Social
Patel,Nell,nell.patel@example.org,07158 977656,Vets
Irving,Ben,ben.irving@example.org,07774 403955,Juniors
Hale,Nell,nell.hale@example.org,07274 513689,Juniors
Ellis,Kai,kai.ellis@example.org,07254 882078,Social
Quayle,Eve,eve.quayle@example.org,07846 602337,Juniors
Lowe,Gus,gus.lowe@example.org,07914 261314,Vets
Novak,Tara,tara.novak@example.org,07596 709368,Social
Ellis,Jess,jess.ellis@example.org,07647 716995,Vets
Adeyemi,Eve,eve.adeyemi@example.org,07491 818587,Seniors
Adeyemi,Will,will.adeyemi@example.org,07370 722525,Vets
Hale,Uma,uma.hale@example.org,07972 712725,Social
Mendes,Ivo,ivo.mendes@example.org,07869 951601,Seniors
Ellis,Eve,eve.ellis@example.org,07197 516243,Juniors
Adeyemi,Femi,femi.adeyemi@example.org,07757 568561,Seniors
