name,house,plus_one
Hari Trent,70 Cedar Lane,yes
Liam Vance,61 Cedar Lane,no
Sam Chen,78 Cedar Lane,yes
Pip Iqbal,71 Cedar Lane,yes
Grace Price,70 Cedar Lane,no
Pip Moss,82 Cedar Lane,yes
Hari Evans,67 Cedar Lane,no
Yara Adams,9 Cedar Lane,yes
Zak Trent,6 Cedar Lane,no
Zak Adams,35 Cedar Lane,no
Tess Moss,55 Cedar Lane,no
Yara Trent,57 Cedar Lane,yes
Liam Doyle,5 Cedar Lane,yes
Pip Gill,34 Cedar Lane,no
Nia Jones,54 Cedar Lane,no
Maya Trent,45 Cedar Lane,no
Sam Nash,75 Cedar Lane,yes
Kemi Adams,36 Cedar Lane,no
Vi Frost,42 Cedar Lane,no
Sam Trent,14 Cedar Lane,no
Umar Gill,82 Cedar Lane,no
Isla Jones,16 Cedar Lane,yes
Pip Price,12 Cedar Lane,no
Cara Nash,20 Cedar Lane,yes
Jon Nash,54 Cedar Lane,yes
Ben Vance,79 Cedar Lane,yes
Maya Trent,43 Cedar Lane,no
Isla Reid,31 Cedar Lane,yes
Jon Adams,10 Cedar Lane,yes
Tess Shah,5 Cedar Lane,yes
Nia Jones,79 Cedar Lane,no
Ella Bell,44 Cedar Lane,no
Liam Evans,49 Cedar Lane,no
Omar Reid,50 Cedar Lane,no
Tess Shah,14 Cedar Lane,no
Quinn Iqbal,56 Cedar Lane,no
Yara Hughes,39 Cedar Lane,no
Isla Reid,39 Cedar Lane,no
Kemi Adams,54 Cedar Lane,no
Kemi Adams,49 Cedar Lane,no
Sam Evans,8 Cedar Lane,no
Umar Khan,60 Cedar Lane,no
Vi Lloyd,78 Cedar Lane,no
Isla Price,3 Cedar Lane,no
Ben Adams,48 Cedar Lane,no
Umar Owen,39 Cedar Lane,no
Tess Khan,23 Cedar Lane,no
Finn Khan,48 Cedar Lane,no
Isla Jones,49 Cedar Lane,yes
Zak Adams,73 Cedar Lane,no
Yara Evans,40 Cedar Lane,no
Hari Iqbal,31 Cedar Lane,no
Finn Nash,84 Cedar Lane,no
Dev Doyle,77 Cedar Lane,no
Kemi Hughes,57 Cedar Lane,yes
Cara Khan,84 Cedar Lane,yes
Sam Owen,35 Cedar Lane,yes
Dev Bell,68 Cedar Lane,yes
Kemi Trent,24 Cedar Lane,no
Kemi Chen,80 Cedar Lane,no
Sam Evans,54 Cedar Lane,no
Quinn Iqbal,60 Cedar Lane,no
Umar Nash,38 Cedar Lane,no
Sam Nash,5 Cedar Lane,no
Ella Gill,1 Cedar Lane,no
Tess Reid,56 Cedar Lane,no
Wes Hughes,5 Cedar Lane,no
Omar Reid,37 Cedar Lane,no
Kemi Hughes,9 Cedar Lane,no
Jon Doyle,32 Cedar Lane,yes
Ben Reid,26 Cedar Lane,no
Sam Bell,2 Cedar Lane,no
Yara Doyle,22 Cedar Lane,no
Jon Hughes,3 Cedar Lane,no
Rosa Nash,7 Cedar Lane,no
Dev Khan,17 Cedar Lane,no
Rosa Price,8 Cedar Lane,no
Hari Gill,16 Cedar Lane,no
Dev Frost,31 Cedar Lane,no
Ella Adams,63 Cedar Lane,no
Sam Moss,7 Cedar Lane,no
Hari Iqbal,80 Cedar Lane,no
Quinn Nash,7 Cedar Lane,no
Kemi Adams,8 Cedar Lane,yes
Ben Doyle,7 Cedar Lane,yes
Pip Bell,12 Cedar Lane,no
Quinn Price,41 Cedar Lane,yes
Kemi Chen,45 Cedar Lane,no
